,Application mode,Application order,Course,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
472,1,1,9670,142.0,38,19,7,10,128.4,0,0,1,0,0,23,11,6,11.875,9,5,12.833333333333334,11.1,0.6,2.02,1
473,1,2,9500,136.0,19,19,9,9,140.0,1,0,1,0,0,20,7,6,13.966666666666669,7,6,13.966666666666669,7.6,2.6,0.32,0
475,1,1,9670,122.0,1,19,3,5,116.8,1,0,1,0,0,21,8,4,11.5,5,5,12.8,7.6,2.6,0.32,0
478,1,1,9500,117.0,3,1,3,3,113.2,0,0,1,0,0,18,10,6,11.98,11,7,13.225,16.2,0.3,-0.92,0
480,1,1,9500,136.0,1,1,4,4,123.8,0,0,1,0,0,19,10,6,11.614285714285714,8,8,14.0375,13.9,-0.3,0.79,0
481,18,6,9500,141.0,1,19,1,1,126.7,1,0,1,0,1,18,8,7,14.314285714285717,8,7,14.314285714285717,12.7,3.7,-1.7,0
485,17,1,9853,126.0,1,37,7,9,132.7,0,0,1,0,1,18,7,6,12.666666666666666,7,5,12.2,10.8,1.4,1.74,0
488,17,3,9500,132.0,37,37,9,7,128.3,1,0,1,0,1,19,8,7,14.70625,8,8,14.4775,15.5,2.8,-4.06,0
489,1,3,9500,128.0,38,38,5,5,118.6,1,0,1,0,1,19,9,6,11.814285714285717,8,7,13.542857142857144,13.9,-0.3,0.79,0
491,1,1,9670,125.0,37,37,5,5,124.0,0,0,1,0,0,19,7,6,14.857142857142858,6,6,13.333333333333334,12.4,0.5,1.79,0
492,1,6,9500,137.0,1,3,3,2,121.3,1,0,1,0,0,20,7,6,12.6,7,6,12.6,7.6,2.6,0.32,0
497,17,1,9254,122.0,1,19,4,3,130.4,1,0,1,0,0,18,10,5,11.8,10,5,12.2,11.1,0.6,2.02,0
498,17,1,9070,126.0,19,38,9,7,118.7,0,0,1,0,0,18,7,5,11.8,6,6,12.666666666666666,16.2,0.3,-0.92,0
501,17,2,9254,128.0,38,38,9,9,129.1,1,0,1,0,0,18,6,6,12.666666666666666,7,5,14.6,11.1,0.6,2.02,0
507,1,2,9773,138.0,19,1,9,3,133.5,1,0,1,0,0,18,6,6,12.666666666666666,6,6,13.666666666666666,12.7,3.7,-1.7,0
517,17,2,9853,138.0,1,1,9,4,123.0,1,0,1,0,0,23,10,5,12.8,9,3,11.666666666666666,10.8,1.4,1.74,1
519,17,2,9853,118.0,37,37,9,9,112.1,1,0,1,0,0,23,11,4,11.25,10,5,10.2,7.6,2.6,0.32,1
520,1,6,9500,135.0,37,1,5,5,126.8,1,0,1,0,1,18,8,7,12.61,8,7,12.61,10.8,1.4,1.74,0
522,15,1,9238,150.0,3,37,2,8,132.5,1,0,0,0,0,20,9,5,13.0,7,6,13.5,13.9,-0.3,0.79,0
523,18,3,9085,149.0,1,1,9,9,132.2,1,0,1,0,1,18,9,4,12.0,8,5,13.0,10.8,1.4,1.74,0
529,1,1,9130,154.0,3,3,2,2,137.2,1,1,1,1,0,18,11,5,13.625,9,4,11.75,16.2,0.3,-0.92,1
532,1,2,9500,145.0,4,2,2,3,127.3,1,0,1,1,0,18,8,7,11.69,8,7,11.69,10.8,1.4,1.74,0
537,17,1,9254,127.0,3,19,4,4,116.9,0,0,1,1,0,21,7,5,11.0,7,5,12.4,15.5,2.8,-4.06,0
538,44,1,9003,140.0,19,38,3,9,140.0,1,0,1,1,0,21,7,6,12.857142857142858,6,6,13.166666666666666,12.4,0.5,1.79,0
539,18,3,9773,128.0,19,1,9,9,122.1,1,0,1,1,0,19,9,4,12.5,6,6,11.333333333333334,10.8,1.4,1.74,1
542,44,1,9003,150.0,1,19,4,10,150.0,0,0,1,1,1,21,8,6,13.0,10,6,12.625,15.5,2.8,-4.06,0
543,1,1,9500,154.0,1,1,5,3,144.9,0,0,1,1,1,18,7,7,15.957142857142856,9,8,15.188888888888888,16.2,0.3,-0.92,0
549,17,2,9147,125.0,19,38,9,7,116.3,1,0,1,1,0,19,8,5,13.25,8,5,11.0,13.9,-0.3,0.79,0
563,1,1,9130,132.0,19,38,9,9,130.4,1,0,1,1,0,18,6,6,13.5,9,5,13.2,8.9,1.4,3.51,0
564,1,6,9070,119.0,1,1,9,9,123.2,1,0,1,1,0,22,6,6,14.166666666666666,8,6,13.625,10.8,1.4,1.74,0
570,1,1,8014,130.0,1,1,9,9,118.1,0,0,1,1,0,20,7,6,12.166666666666666,9,6,12.0,7.6,2.6,0.32,0
576,1,2,9500,149.0,3,1,9,9,137.5,0,0,1,1,0,19,8,7,13.828571428571427,8,7,13.828571428571427,12.7,3.7,-1.7,0
578,1,1,9238,134.0,37,37,5,5,120.4,0,0,1,0,0,20,7,6,11.5,6,6,11.666666666666666,7.6,2.6,0.32,0
579,1,4,9070,136.0,37,37,9,8,136.7,1,0,1,0,0,20,6,4,13.5,8,6,13.625,10.8,1.4,1.74,0
581,17,5,9500,141.0,12,1,5,5,133.0,1,0,1,0,0,18,8,7,12.5375,9,7,12.614285714285714,13.9,-0.3,0.79,0
583,1,1,9147,148.0,37,38,9,8,133.0,1,0,1,0,0,18,10,4,12.0,9,4,12.8,13.9,-0.3,0.79,0
585,1,1,9147,143.0,1,19,3,3,133.9,0,0,1,0,1,18,5,5,15.0,5,5,15.2,12.7,3.7,-1.7,0
587,17,1,9773,121.0,38,38,9,8,120.4,1,0,1,0,1,18,6,6,12.833333333333334,7,6,12.285714285714286,15.5,2.8,-4.06,0
589,1,4,9556,122.0,37,1,5,4,123.9,0,0,1,0,0,19,9,7,12.1625,8,8,13.825,13.9,-0.3,0.79,0
590,1,2,9670,123.0,19,1,9,3,117.8,1,0,1,0,0,18,6,6,13.833333333333334,11,6,14.555555555555555,10.8,1.4,1.74,0
598,17,1,9670,149.0,19,37,7,4,134.3,0,0,1,0,0,20,7,6,12.666666666666666,9,6,13.77777777777778,10.8,1.4,1.74,0
601,17,5,9070,122.0,19,38,5,7,119.6,0,1,0,0,0,21,6,4,13.0,8,4,11.6,10.8,1.4,1.74,1
604,1,1,9500,143.0,1,37,3,8,128.0,0,0,1,0,1,18,9,7,13.055555555555555,8,8,15.8125,13.9,-0.3,0.79,0
607,1,6,9500,131.0,38,19,7,7,125.3,1,0,1,0,1,19,8,7,12.355714285714283,8,7,12.355714285714283,10.8,1.4,1.74,0
610,1,2,9853,112.0,37,37,191,182,106.1,1,1,1,0,1,20,7,7,13.857142857142858,8,7,12.571428571428571,8.9,1.4,3.51,0
612,1,1,9070,116.0,1,1,1,1,110.8,1,0,1,0,0,20,6,6,12.833333333333334,10,6,11.166666666666666,12.4,0.5,1.79,0
614,1,1,9500,130.0,19,37,9,9,117.8,1,0,1,0,1,19,8,7,12.357142857142858,8,7,12.357142857142858,12.7,3.7,-1.7,0
615,1,6,9500,144.0,1,37,9,9,127.5,1,0,1,0,1,18,8,7,13.857142857142858,8,7,13.857142857142858,12.7,3.7,-1.7,0
616,17,2,9238,105.0,37,37,7,8,129.7,1,0,1,0,1,20,6,6,12.333333333333334,6,6,10.666666666666666,9.4,-0.8,-3.12,0
617,17,1,9500,143.0,37,37,9,8,130.6,1,0,1,0,0,20,8,7,12.847142857142858,10,8,13.788888888888888,16.2,0.3,-0.92,0
618,17,2,9500,137.0,19,37,4,7,126.3,1,0,1,0,1,19,9,6,12.339999999999998,9,8,13.01875,11.1,0.6,2.02,0
620,1,1,9773,133.1,3,19,4,5,105.0,1,0,1,0,0,20,6,6,13.833333333333334,6,6,12.5,12.7,3.7,-1.7,0
622,17,5,9853,117.0,38,38,9,7,114.6,1,0,1,0,0,19,11,4,13.25,10,4,10.25,9.4,-0.8,-3.12,1
624,17,4,9070,116.0,38,37,9,9,109.0,0,0,1,0,1,23,6,6,13.333333333333334,8,3,12.666666666666666,11.1,0.6,2.02,1
625,1,1,9853,133.1,19,19,9,8,132.0,1,0,1,0,0,21,8,5,12.0,9,5,10.8,12.7,3.7,-1.7,1
627,1,3,9500,106.0,19,37,9,7,109.5,1,0,1,0,0,19,8,7,13.025,9,8,13.811111111111112,13.9,-0.3,0.79,0
628,17,2,9773,125.0,1,38,5,6,115.9,1,0,1,0,0,18,6,6,13.0,6,6,14.166666666666666,12.4,0.5,1.79,0
629,1,1,9773,134.0,19,37,9,9,131.6,1,0,1,0,0,19,10,5,11.8,10,5,12.0,10.8,1.4,1.74,0
632,1,1,9500,136.0,1,19,5,7,136.4,0,0,1,0,1,19,8,7,12.8375,8,8,15.5,13.9,-0.3,0.79,0
634,1,1,9670,135.0,37,37,9,7,132.6,1,0,1,0,1,18,7,6,13.5,9,5,14.0,8.9,1.4,3.51,0
635,17,5,9238,122.0,37,37,7,5,112.9,1,0,1,0,1,19,8,6,12.125,7,6,12.714285714285714,16.2,0.3,-0.92,0
639,18,1,9773,135.0,1,1,3,3,129.8,0,0,1,0,1,18,6,6,12.666666666666666,6,6,11.833333333333334,12.7,3.7,-1.7,1
649,1,1,9670,117.0,1,38,5,1,113.5,1,0,1,0,0,20,6,4,11.5,5,4,10.75,9.4,-0.8,-3.12,0
650,17,1,9238,151.0,19,1,5,0,144.4,1,0,1,0,0,18,8,6,15.375,7,6,16.428571428571427,16.2,0.3,-0.92,0
658,43,1,9070,141.0,1,19,5,10,127.0,0,0,1,0,0,20,6,5,12.4,9,5,12.4,12.7,3.7,-1.7,0
662,17,4,9773,127.0,1,19,4,1,115.8,1,0,1,0,0,18,7,6,12.571428571428571,6,6,13.666666666666666,13.9,-0.3,0.79,0
664,17,3,9500,143.0,3,3,9,7,129.0,1,0,1,1,0,19,8,7,13.3625,9,8,14.444444444444445,13.9,-0.3,0.79,0
665,1,1,9085,144.0,3,3,6,6,137.6,1,0,1,0,1,19,6,5,15.4,5,5,16.0,10.8,1.4,1.74,0
666,17,2,9773,126.0,37,38,5,5,129.5,1,1,0,0,0,18,9,5,12.2,9,4,11.75,10.8,1.4,1.74,1
670,1,1,9238,151.0,37,1,9,9,138.4,1,0,1,0,1,20,8,6,14.25,8,6,11.0,12.7,3.7,-1.7,0
672,1,4,9500,135.0,1,19,9,7,123.5,1,0,1,0,1,19,8,7,12.285714285714286,10,8,11.7375,12.4,0.5,1.79,0
673,1,2,9070,121.0,19,19,3,3,116.1,1,0,1,0,0,22,7,6,11.666666666666666,7,5,13.2,12.7,3.7,-1.7,0
674,1,1,9254,116.0,38,38,5,8,110.8,1,0,1,0,0,18,8,6,12.166666666666666,6,6,13.5,11.1,0.6,2.02,0
680,17,2,9254,124.0,19,38,9,9,123.3,1,0,1,0,0,22,7,6,10.833333333333334,6,6,10.666666666666666,13.9,-0.3,0.79,0
687,17,3,9500,133.0,38,19,9,8,128.8,1,0,1,1,0,18,8,7,11.8375,9,8,12.48125,13.9,-0.3,0.79,0
713,1,1,9500,143.0,3,3,2,2,129.0,0,0,1,1,0,18,8,7,13.105714285714283,8,7,13.105714285714283,10.8,1.4,1.74,0
732,1,1,9254,132.0,1,19,6,6,124.7,1,0,1,1,0,21,9,6,12.0,8,5,11.6,13.9,-0.3,0.79,0
735,17,2,9670,110.0,3,3,4,10,115.6,1,0,1,1,0,21,10,6,11.875,8,5,12.0,11.1,0.6,2.02,0
741,1,1,9254,136.0,3,3,2,2,128.7,0,0,1,1,0,19,7,6,14.428571428571429,6,6,12.5,8.9,1.4,3.51,0
742,17,3,9500,142.0,3,3,3,3,132.9,1,0,1,1,0,18,8,5,14.2,9,6,12.4,12.4,0.5,1.79,1
749,1,2,9500,134.0,1,1,5,3,128.4,1,0,1,0,0,18,7,7,13.471428571428572,9,8,13.944444444444445,16.2,0.3,-0.92,0
750,1,2,9670,130.0,38,37,5,5,123.4,1,0,1,0,0,21,5,4,11.75,5,3,13.333333333333334,9.4,-0.8,-3.12,0
751,1,1,9070,141.0,37,37,9,9,126.7,1,1,1,0,1,20,9,6,13.333333333333334,10,6,14.666666666666666,12.7,3.7,-1.7,0
754,1,3,9070,122.0,37,37,9,9,125.9,1,0,1,1,1,20,6,6,15.5,7,6,12.166666666666666,12.4,0.5,1.79,0
756,15,1,9670,133.1,1,1,9,5,128.2,0,1,0,1,0,18,6,4,11.25,7,3,12.333333333333334,8.9,1.4,3.51,1
758,1,1,9254,111.0,1,1,3,3,112.4,1,0,1,1,0,20,10,6,12.333333333333334,9,4,13.0,12.4,0.5,1.79,0
769,17,5,9670,132.0,19,19,5,5,134.1,1,0,1,1,0,21,6,6,15.166666666666666,9,6,14.0,10.8,1.4,1.74,0
770,1,1,9085,134.0,1,1,9,9,133.0,1,0,1,0,1,20,8,6,15.142857142857142,8,6,15.142857142857142,11.1,0.6,2.02,0
773,1,2,9238,129.0,38,1,4,10,129.4,1,0,1,0,0,18,7,6,12.333333333333334,7,6,12.166666666666666,9.4,-0.8,-3.12,0
779,17,3,9773,123.0,1,19,5,5,117.4,1,0,1,0,1,18,6,6,12.5,6,6,13.833333333333334,16.2,0.3,-0.92,0
780,17,1,9773,150.0,38,38,7,7,137.8,1,0,1,0,1,18,6,6,15.0,6,6,15.5,8.9,1.4,3.51,0
784,1,2,9773,130.0,1,34,9,9,124.8,1,0,1,0,1,20,7,5,12.8,6,6,12.333333333333334,12.4,0.5,1.79,0
785,1,1,9238,121.0,1,1,1,1,115.1,1,0,1,0,0,19,10,6,10.833333333333334,7,6,12.142857142857142,11.1,0.6,2.02,0
786,1,1,9070,153.0,3,3,1,2,146.7,1,0,1,0,0,18,6,6,13.666666666666666,6,5,14.0,12.7,3.7,-1.7,0
787,1,1,9500,148.0,3,1,4,5,132.8,0,0,1,0,0,18,8,7,14.537142857142856,8,7,14.537142857142856,10.8,1.4,1.74,0
790,17,1,9773,138.0,1,19,9,9,124.0,0,0,1,0,1,19,6,6,13.166666666666666,6,6,13.833333333333334,11.1,0.6,2.02,0
792,17,1,9238,145.0,1,40,9,2,129.6,0,0,1,0,1,19,7,6,11.333333333333334,7,6,12.428571428571429,11.1,0.6,2.02,0
793,17,3,9238,118.0,3,1,2,5,110.0,1,0,1,0,0,18,6,6,12.0,6,5,13.6,8.9,1.4,3.51,0
794,1,3,9773,121.0,19,19,3,3,116.1,0,0,1,0,1,18,6,6,13.166666666666666,6,6,12.166666666666666,12.4,0.5,1.79,0
795,1,3,9773,135.0,38,38,5,8,133.3,1,0,1,0,1,18,6,6,14.833333333333334,6,6,14.166666666666666,8.9,1.4,3.51,0
797,18,3,9500,145.0,1,1,4,8,133.6,1,0,1,0,0,18,8,7,13.087142857142856,8,8,12.95,11.1,0.6,2.02,0
798,1,1,9130,133.0,1,37,9,9,123.2,1,0,1,0,1,19,8,6,13.333333333333334,7,6,13.666666666666666,8.9,1.4,3.51,0
802,17,4,9147,125.0,19,19,5,5,118.0,1,0,1,0,0,19,7,5,13.6,6,5,12.2,8.9,1.4,3.51,0
803,1,1,9773,141.0,38,38,9,9,128.4,1,0,1,0,0,18,6,6,15.5,6,6,14.0,11.1,0.6,2.02,0
804,1,3,9853,122.0,1,3,5,3,113.6,0,0,1,0,0,19,7,7,13.857142857142858,7,7,14.285714285714286,11.1,0.6,2.02,0
806,17,3,9070,142.0,1,38,3,5,146.9,1,0,1,0,1,18,6,6,13.0,6,6,12.166666666666666,16.2,0.3,-0.92,0
811,17,2,9853,112.0,19,38,5,7,107.1,1,0,1,0,1,18,8,7,12.142857142857142,9,6,13.666666666666666,11.1,0.6,2.02,0
812,17,1,9500,135.0,19,38,9,9,129.2,0,0,1,0,1,18,7,7,14.145714285714286,9,8,13.627777777777778,11.1,0.6,2.02,0
813,1,1,9500,162.0,3,4,3,3,154.1,0,0,1,0,0,18,7,7,14.45,9,8,14.144444444444444,11.1,0.6,2.02,0
814,1,1,9853,143.0,19,3,4,4,147.2,0,0,1,0,0,18,7,7,15.714285714285714,7,7,15.0,11.1,0.6,2.02,0
817,16,1,9070,125.0,1,1,4,4,120.8,1,0,1,0,0,18,6,6,14.5,6,6,12.833333333333334,12.4,0.5,1.79,0
820,1,1,9147,142.0,19,19,9,9,127.0,1,0,1,0,1,18,10,5,12.0,8,4,11.6,13.9,-0.3,0.79,0
823,1,2,9238,133.1,19,19,9,9,106.0,1,0,1,0,1,20,7,6,12.571428571428571,7,6,13.285714285714286,12.4,0.5,1.79,0
824,18,4,9773,114.0,1,1,9,9,111.6,1,0,1,0,1,21,6,6,12.5,6,6,11.5,11.1,0.6,2.02,0
825,17,3,9670,125.0,1,3,4,3,117.3,1,0,1,0,0,18,8,6,14.0,9,5,14.0,8.9,1.4,3.51,0
826,17,1,9853,127.0,1,1,5,7,121.4,1,0,1,0,0,18,8,7,11.571428571428571,9,6,13.166666666666666,11.1,0.6,2.02,1
827,1,3,9070,132.0,1,3,9,7,126.1,1,0,1,0,1,18,6,6,15.833333333333334,6,6,15.333333333333334,11.1,0.6,2.02,0
830,17,1,9254,136.0,39,3,3,3,128.7,1,0,1,0,0,20,8,6,11.666666666666666,10,6,11.0,13.9,-0.3,0.79,1
839,1,1,9147,125.0,38,1,3,10,114.5,1,0,1,1,0,19,5,5,13.8,7,5,12.4,9.4,-0.8,-3.12,0
843,1,3,9500,147.0,37,38,9,5,134.8,1,0,1,0,0,18,7,6,14.016666666666666,7,6,14.016666666666666,7.6,2.6,0.32,0
844,1,1,9238,143.0,38,34,9,9,133.6,1,0,1,0,0,18,9,5,11.4,8,5,10.8,9.4,-0.8,-3.12,0
850,1,6,9500,133.0,3,3,1,1,126.2,1,0,1,0,0,19,9,7,13.761111111111113,11,7,12.82375,15.5,2.8,-4.06,0
856,1,1,9238,127.0,1,19,4,3,141.7,1,0,1,1,0,22,6,6,12.666666666666666,6,6,13.833333333333334,10.8,1.4,1.74,1
860,18,2,9119,136.0,1,2,5,4,122.7,1,0,1,1,0,18,7,5,12.6,9,3,13.25,13.9,-0.3,0.79,1
865,1,4,9500,128.0,1,1,4,10,125.2,1,0,1,1,1,18,7,7,14.682857142857143,9,8,15.055555555555555,12.4,0.5,1.79,0
868,18,1,9254,137.0,19,19,4,5,126.9,0,0,1,1,0,20,7,6,13.857142857142858,7,5,12.8,16.2,0.3,-0.92,0
870,1,1,9254,125.0,1,1,191,193,114.5,0,0,1,1,0,20,8,6,13.142857142857142,7,6,12.5,8.9,1.4,3.51,0
874,1,1,9003,148.0,1,19,194,194,143.5,0,1,1,1,0,18,6,5,15.0,8,4,14.5,8.9,1.4,3.51,0
875,1,1,9500,138.0,38,38,9,9,126.8,0,0,1,1,1,19,9,7,14.244444444444444,12,8,12.233333333333333,15.5,2.8,-4.06,0
876,17,1,9070,119.0,38,19,9,9,115.2,0,0,1,1,1,21,8,4,11.5,7,5,11.0,15.5,2.8,-4.06,1
880,17,2,9070,126.0,38,38,9,8,129.9,1,0,1,1,1,19,6,6,13.666666666666666,7,5,13.2,12.4,0.5,1.79,0
886,16,6,9773,136.0,38,14,0,0,129.7,1,0,1,0,0,21,6,6,13.166666666666666,6,6,13.0,7.6,2.6,0.32,0
888,1,1,9500,136.0,19,19,4,7,136.0,0,0,1,0,1,19,7,7,14.014285714285714,8,8,15.35,13.9,-0.3,0.79,0
890,1,2,9773,159.0,1,19,9,9,151.3,1,0,1,0,0,18,6,6,14.0,6,6,14.666666666666666,10.8,1.4,1.74,0
892,43,1,9500,150.0,37,37,9,9,130.8,1,0,1,0,1,21,8,7,14.428571428571429,8,7,14.428571428571429,12.7,3.7,-1.7,0
896,17,1,9773,120.0,37,37,5,5,125.3,0,0,1,0,0,18,9,6,12.5,9,6,13.0,7.6,2.6,0.32,0
899,17,1,9670,128.0,19,19,7,7,124.4,0,0,1,0,1,19,6,6,13.0,6,6,14.0,13.9,-0.3,0.79,0
901,43,2,9238,118.0,38,38,5,5,110.0,0,0,1,0,1,19,8,6,11.428571428571429,11,5,11.2,10.8,1.4,1.74,0
903,1,2,9500,145.0,37,1,9,4,138.8,1,0,1,0,1,18,7,6,12.95,7,6,12.95,7.6,2.6,0.32,0
905,1,3,9500,114.0,1,1,5,5,114.5,1,0,1,0,1,19,7,7,13.094285714285714,8,8,12.55,12.4,0.5,1.79,0
910,1,1,9853,145.0,37,37,9,5,146.8,0,0,1,0,0,18,6,6,13.166666666666666,6,6,13.333333333333334,7.6,2.6,0.32,0
911,1,1,9085,128.0,19,1,5,4,135.7,1,0,1,0,0,20,7,4,12.75,5,5,13.4,10.8,1.4,1.74,0
915,15,1,9773,120.0,19,19,4,5,120.0,1,0,1,0,0,22,6,6,13.0,6,6,13.666666666666666,12.4,0.5,1.79,0
922,17,6,9238,131.0,1,3,4,2,131.7,1,0,1,0,0,18,8,4,11.75,8,4,12.25,9.4,-0.8,-3.12,1
931,1,1,9853,115.0,19,38,9,9,108.0,0,0,1,0,1,19,10,6,13.0,7,7,13.285714285714286,12.4,0.5,1.79,0
940,1,3,9773,110.0,19,19,5,5,105.5,1,0,1,0,0,19,6,6,13.0,8,5,12.4,12.4,0.5,1.79,0
941,1,1,9238,128.0,37,19,9,4,127.3,1,0,1,0,1,19,8,6,14.0,8,6,12.285714285714286,16.2,0.3,-0.92,0
944,16,1,9556,137.0,37,37,9,7,122.7,1,0,1,0,1,18,7,7,15.285714285714286,8,8,16.075,12.4,0.5,1.79,0
945,17,2,9254,123.0,37,37,7,7,113.9,1,0,1,0,0,18,6,6,13.166666666666666,6,6,12.666666666666666,11.1,0.6,2.02,0
952,44,1,9003,140.0,1,19,4,8,140.0,0,0,1,1,0,20,7,6,13.571428571428571,6,6,12.666666666666666,12.4,0.5,1.79,0
956,17,1,9773,130.0,19,37,9,9,140.2,0,0,1,1,1,19,6,6,12.0,7,6,11.666666666666666,16.2,0.3,-0.92,0
957,1,3,9773,115.0,38,1,9,4,116.1,1,0,1,1,0,19,6,6,12.5,7,5,13.0,12.4,0.5,1.79,0
958,1,1,9147,150.0,1,19,5,5,137.8,1,0,1,1,1,19,6,5,13.2,6,5,12.666666666666666,16.2,0.3,-0.92,0
964,1,1,9773,121.0,1,3,3,7,113.0,1,0,1,1,1,18,7,6,11.666666666666666,12,5,10.2,12.4,0.5,1.79,0
965,44,1,9003,120.0,4,1,2,8,120.0,0,0,1,1,0,21,9,5,13.4,9,5,12.4,8.9,1.4,3.51,0
982,1,1,9773,134.0,1,38,4,5,122.8,0,0,1,1,0,18,6,6,12.0,6,6,12.5,12.7,3.7,-1.7,0
985,1,1,9500,154.0,19,19,3,3,142.0,0,0,1,1,0,19,8,7,13.714285714285714,8,7,13.714285714285714,12.7,3.7,-1.7,0
990,17,1,9500,130.0,1,3,9,2,128.6,1,0,1,0,0,18,7,7,14.728571428571428,11,8,16.327272727272728,16.2,0.3,-0.92,0
991,1,1,9130,135.0,3,3,2,2,137.1,1,0,1,0,0,18,8,6,12.0,8,5,14.8,12.4,0.5,1.79,0
992,1,1,9773,143.0,1,3,3,3,149.0,1,0,1,0,0,18,8,6,11.428571428571429,7,6,11.0,11.1,0.6,2.02,1
998,17,1,9254,115.0,1,19,3,3,109.4,1,0,1,0,0,19,8,6,12.666666666666666,8,5,13.4,11.1,0.6,2.02,0
999,1,3,9070,146.0,34,34,0,0,143.6,1,0,1,0,0,18,6,6,12.5,6,6,13.0,7.6,2.6,0.32,1
1003,17,2,9147,122.0,19,19,7,7,116.1,1,0,1,0,1,19,8,5,11.2,5,3,11.0,12.4,0.5,1.79,0
1004,17,2,9238,136.0,1,3,3,4,126.6,1,0,1,0,0,18,6,6,16.5,7,6,17.428571428571427,11.1,0.6,2.02,1
1006,17,6,9500,139.0,37,37,9,6,133.5,1,0,1,0,1,18,8,7,15.228571428571428,8,7,15.228571428571428,12.7,3.7,-1.7,0
1009,17,3,9670,122.0,1,38,3,3,114.3,1,0,1,0,0,18,8,6,13.875,7,6,13.714285714285714,11.1,0.6,2.02,0
1011,17,1,9500,128.0,19,1,4,3,117.2,1,0,1,0,0,20,9,6,11.605,10,7,12.4125,16.2,0.3,-0.92,0
1012,17,1,9147,139.0,1,38,4,5,152.0,0,0,1,0,1,18,5,5,14.6,8,5,12.0,12.7,3.7,-1.7,0
1015,17,1,9254,116.0,19,19,9,8,119.9,1,0,1,0,0,20,6,6,12.333333333333334,6,6,12.333333333333334,12.4,0.5,1.79,0
1019,17,3,9773,132.0,1,1,4,9,124.3,1,1,1,0,1,19,6,6,11.833333333333334,7,6,12.285714285714286,15.5,2.8,-4.06,0
1023,17,1,9070,116.0,38,38,9,9,123.7,0,0,1,0,0,20,6,6,14.5,7,6,13.5,11.1,0.6,2.02,0
1024,18,2,9853,111.0,38,38,191,171,105.8,1,0,1,0,0,19,7,7,13.142857142857142,8,7,12.857142857142858,8.9,1.4,3.51,0
1026,1,1,9085,123.0,30,19,4,90,122.3,0,0,1,0,0,18,6,5,14.2,7,5,11.8,7.6,2.6,0.32,0
1027,1,5,9254,131.0,19,37,9,9,123.7,0,0,1,0,1,19,8,5,11.666666666666666,7,5,12.2,8.9,1.4,3.51,0
1028,17,2,9500,135.0,19,19,9,4,129.8,1,0,1,0,0,18,8,7,13.175,8,8,14.875,13.9,-0.3,0.79,0
1029,1,4,9500,136.0,1,1,9,9,123.8,1,0,1,0,1,19,8,7,13.314285714285717,8,7,13.314285714285717,12.7,3.7,-1.7,0
1032,1,1,9773,144.0,37,37,8,8,138.4,0,0,1,0,0,18,7,6,13.428571428571429,7,6,14.142857142857142,13.9,-0.3,0.79,0
1033,17,1,9085,129.0,1,37,9,9,118.2,1,0,1,0,1,18,7,4,13.25,8,5,15.571428571428571,10.8,1.4,1.74,0
1043,1,6,9500,133.0,38,38,9,9,128.8,1,0,1,0,1,18,11,6,11.994444444444444,11,7,12.43142857142857,15.5,2.8,-4.06,0
1044,1,5,9254,126.0,19,19,4,7,116.6,1,0,1,0,0,19,9,5,11.6,12,5,12.2,13.9,-0.3,0.79,0
1047,1,6,9500,141.0,2,1,4,4,136.3,1,0,1,0,0,19,8,7,14.1,8,7,14.1,10.8,1.4,1.74,0
1048,1,1,9500,133.0,1,19,9,6,121.5,1,0,1,0,1,20,8,6,12.396666666666668,9,7,12.94285714285714,11.1,0.6,2.02,0
1049,1,1,9500,143.0,38,38,5,5,133.9,0,0,1,0,0,18,7,7,15.014285714285714,8,8,16.0875,12.4,0.5,1.79,0
1051,17,2,9500,134.0,19,37,4,7,133.5,1,0,1,0,0,19,8,7,14.05,8,8,15.1,13.9,-0.3,0.79,0
1052,17,3,9500,138.0,3,3,4,5,130.0,1,0,1,0,0,18,8,7,14.85,8,8,15.2,13.9,-0.3,0.79,1
1054,1,2,9500,142.0,37,37,9,7,132.7,1,0,1,0,1,19,8,7,14.7875,8,8,15.8625,13.9,-0.3,0.79,0
1055,1,1,9500,118.0,19,19,5,7,117.8,0,0,1,0,1,19,7,7,13.7,9,7,14.671428571428574,12.4,0.5,1.79,0
1056,1,2,9500,131.0,1,37,4,4,126.1,1,0,1,0,1,19,7,7,12.495714285714286,9,7,12.242857142857144,11.1,0.6,2.02,1
1057,1,1,9500,130.0,1,38,1,7,120.0,0,0,1,0,0,19,7,6,14.566666666666668,7,6,14.566666666666668,7.6,2.6,0.32,0
1059,1,1,9500,130.0,19,19,4,10,116.8,0,0,1,0,0,20,8,7,12.685714285714283,8,7,12.685714285714283,12.7,3.7,-1.7,0
1066,1,6,9500,145.0,38,37,5,6,127.5,1,0,1,0,1,19,7,6,13.416666666666666,7,6,13.416666666666666,7.6,2.6,0.32,0
1068,43,1,9500,128.0,1,19,9,8,100.0,1,0,1,0,0,20,8,7,13.1,8,8,14.8125,13.9,-0.3,0.79,0
